id,title,artist,album,img,rtime
3d6UvpyVQR5VQToaJpSAjb,ROCK STAR,노라조,환골탈태,https://i.scdn.co/image/ab67616d00001e02079d84504e07a5ea9ca8638c,225814
4qRaZYiaOsSvWC7VgcxrI0,HandClap,Fitz and The Tantrums,Fitz and The Tantrums (Deluxe Edition),https://i.scdn.co/image/ab67616d00001e024d991176cbf36bd168e00a0a,193253
1giKA13ji9ZP5dZVwEQd0y,Bang Bus,250,PPONG,https://i.scdn.co/image/ab67616d00001e02ac998adfb6d008926ab9fc20,240093
3Yf5Ca2EwSBI7wQIdGEPuR,땡떙땡,Supreme Team,Spin Off (Repackage),https://i.scdn.co/image/ab67616d00001e02db119a6cc5cc81de70dc7e1e,210746
4b3rGL8LDSkbARUUA20136,VENOM,Stray Kids,ODDINARY,https://i.scdn.co/image/ab67616d00001e023613e1e0d35867a0814005a9,194840
5Kah5B4ZdtnASMw1TRTye7,Thin Lips Club,MEMI,Thin Lips Club,https://i.scdn.co/image/ab67616d00001e02bd28ec229dbcc8c2a055d668,158905
4wMCWakfQdZxgqlAtAJDaO,하루의 은혜 The Grace of a Day,원데이워십 One Day Worship,하루의 은혜 The Grace of a Day,https://i.scdn.co/image/ab67616d00001e0281cf0411726f9c8345fd32fd,350834
7CRG6yWBOrAzoH8BiweJZr,Sick,정재승,Sick,https://i.scdn.co/image/ab67616d00001e02f039d1c8ef5cccfa086ad2a4,234306
1yzINfwcfaS0yOSwvaiQda,אל תשאלי (מארח את בניה ברבי),"Gil Vain, Benaia Barabi",צבעים,https://i.scdn.co/image/ab67616d00001e0221e6acd3ccf3489b360b4934,167939
1uhx7CG8DLhCkAV0IoqYCe,청록,이츠,청록,https://i.scdn.co/image/ab67616d00001e0242a685253270bbac3889da2b,205922
2SLwbpExuoBDZBpjfefCtV,Out of Time,The Weeknd,Dawn FM,https://i.scdn.co/image/ab67616d00001e024ab2520c2c77a1d66b9ee21d,214193
2QYnONicU24TXbkhtaemOM,Obsessed,Ayumu Imazu,Obsessed,https://i.scdn.co/image/ab67616d00001e024db004259495cf37df5a9bd5,196500
6dquCx5KAW5jCgGgoTlghL,Every Second,Mina Okabe,Every Second,https://i.scdn.co/image/ab67616d00001e02fc03b97c30ce11e30e65e389,182076
7uoFMmxln0GPXQ0AcCBXRq,Snowman,Sia,Everyday Is Christmas (Deluxe Edition),https://i.scdn.co/image/ab67616d00001e02d1410c1372fab1e516328fa8,165900
3oUEzTAoOxqZHN4xiqTGqJ,Bécane - A COLORS SHOW,Yamê,Bécane - A COLORS SHOW,https://i.scdn.co/image/ab67616d00001e027dfba3f3ae607f250cdd969c,182440
4Eoe8ErXJHBGfaXutT4iei,くらべられっ子,urumeiwashi,ツユ カバーズ ~レインボーアンブレラ~,https://i.scdn.co/image/ab67616d00001e02eaba571985921a7ede424a6e,217731
6sIx7Cn37DGEhjy9hBP8Gx,猫,DISH//,僕たちがやりました,https://i.scdn.co/image/ab67616d00001e02ece6b6818c2b96a559508acc,276040
72uSoNIf7eScfGZFQjNHrR,Dramaturgy,Eve,Bunka,https://i.scdn.co/image/ab67616d00001e029794fc0e54d795a65d732967,238181
7LHAKF7pBqHch8o6Yo0ad5,Suzume,"RADWIMPS, Toaka",Suzume,https://i.scdn.co/image/ab67616d00001e025cde862db0ec9bb1e1566dd7,236390
2iOvMtA1u9s95NF6mJDOuT,香水,Eito,香水,https://i.scdn.co/image/ab67616d00001e028c619e91247463929b384517,252594
16Rkrpp33VSJQYs9dRx3NK,Show Your Smile (2024 Remaster),김건모,In My Pops & Live (2024 Remasterd),https://i.scdn.co/image/ab67616d00001e020f48a57a461dcae8c8d6435f,217699
1qosh64U6CR5ki1g1Rf2dZ,Love Lee,AKMU,Love Lee,https://i.scdn.co/image/ab67616d00001e02a75d7535b8657385f8232449,179683
154Jycdld9dX9rBLE6L3v4,寄り酔い,和ぬか,寄り酔い,https://i.scdn.co/image/ab67616d0000b27379132dd90667a7ecb3a31250,216959
7163xpL9SvNzMY6tk7nL8L,くらべられっ子,TUYU,やっぱり雨は降るんだね,https://i.scdn.co/image/ab67616d0000b2734b5faf2955056fc97ee144ce,214155
6y4GYuZszeXNOXuBFsJlos,Kaikai Kitan,Eve,Kaikai Kitan / Ao No Waltz,https://i.scdn.co/image/ab67616d0000b2734b54d2a72484832db80a0fe9,221426
6bfjEGSR7DyC8MK8cp3ZCp,シュガーソングとビターステップ,UNISON SQUARE GARDEN,Dr.Izzy,https://i.scdn.co/image/ab67616d0000b273c9904e89e7dd06e56dc903d2,253226
0jPZf5231RdBUMLFG1HqXi,東京フラッシュ,Vaundy,strobo,https://i.scdn.co/image/ab67616d0000b273fbc6a3d03bf7f991fc0c991b,258858
3gmn76fCtpDazGMnN0QMHX,NIGHT DANCER,imase,POP CUBE,https://i.scdn.co/image/ab67616d0000b2734b062591b6a5c15652dd2bb5,210600
